das.sofitel-sukhumvit.digivalet.in,"['Q043V5QV7PG', 'Q04447JRDNY', 'Q04447JS4LC', 'Q044RF48TK2', 'Q044RF49Q1W', 'Q043V5R3VL6', 'Q0441M1DA5R', 'Q043M78GL6B', 'Q043V5R6NJJ', 'Q0441M1FDQB']"
das.necker-island.digivalet.in,"['Q044AKE0LH2', 'Q043TK3GNJK', 'Q043TK3HEG7', 'Q044XSUTBKJ', 'Q04457E0T5K', 'Q04457E1NER', 'Q04486ALXNE', 'Q044AKE6L20', 'Q044AKE7DD2', 'Q043TK3PGR5']"
das.tond.digivalet.in,"['Q044YQJQQLQ', 'Q044BH42P9A', 'Q044MNEMWBB', 'Q044916F1FD', 'Q0446544FU5', 'Q0446546205', 'Q043UGTS6BZ', 'Q0446549P7X', 'Q044YQK8S9W', 'Q044MNF45DF']"
